,test,secondsTotal.flakerake-obo,failureID-flakerake-obo.uniqueCount,secondsTotal.flakerake,failureID-flakerake.uniqueCount,secondsTotal.isolatedRerun,failureID-isolatedRerun.uniqueCount
,com.squareup.okhttp.internal.http.ResponseCacheTest#authorizationResponseCachedWithMustRevalidate,5053.016697645187,2,8293.895914793015,2,1053.1069999999856,2
,com.squareup.okhttp.internal.http.ResponseCacheTest#cacheCanUseCriteriaBesidesVariantObeyed,5578.171574115753,2,21875.956504821777,2,1060.0769999999966,2
,com.squareup.okhttp.internal.http.ResponseCacheTest#cacheControlNoStoreAndExpirationDateInTheFuture,2705.2796528339386,1,2708.7168164253235,1,1074.5840000000053,1
,com.squareup.okhttp.internal.http.ResponseCacheTest#clientPrematureDisconnectWithContentLengthHeader,3006.805163860321,1,3007.4896104335785,1,2047.59199999991,1
,com.squareup.okhttp.internal.http.ResponseCacheTest#clientPrematureDisconnectWithNoLengthHeaders,3014.5944817066193,1,3015.989588737488,1,1041.154999999972,1
,com.squareup.okhttp.internal.http.ResponseCacheTest#clientSuppliedConditionWithoutCachedResult,2148.823911190033,1,2132.3315892219543,1,1050.0349999999844,1
,com.squareup.okhttp.internal.http.ResponseCacheTest#contentLocationDoesNotPopulateCache,2647.031401157379,1,2648.601445198059,1,1041.6259999999793,1
,com.squareup.okhttp.internal.http.ResponseCacheTest#etag,3019.1654527187347,1,3018.719570159912,1,1077.9619999999875,1
,com.squareup.okhttp.internal.http.ResponseCacheTest#getHeadersDeletesCached100LevelWarnings,2660.2698764801025,1,2659.7758712768555,1,1075.4429999999977,1
,com.squareup.okhttp.internal.http.ResponseCacheTest#maxAgeInTheFutureWithDateHeader,5192.126268625259,2,12425.892765522003,2,1060.9759999999985,2
,com.squareup.okhttp.internal.http.ResponseCacheTest#maxAgePreferredOverLowerSharedMaxAge,5192.096210002899,2,12555.671565055847,2,1067.1330000000053,2
,com.squareup.okhttp.internal.http.ResponseCacheTest#maxAgePreferredWithMaxAgeAndExpires,5245.833441019058,2,12649.61686372757,2,1067.3870000000097,2
,com.squareup.okhttp.internal.http.ResponseCacheTest#noDefaultExpirationForUrlsWithQueryString,2734.0296001434326,1,2737.2620074748993,1,1104.413999999981,1
,com.squareup.okhttp.internal.http.ResponseCacheTest#requestOnlyIfCachedWithNoResponseCached,476.95007944107056,1,479.6962790489197,1,955.5470000000089,1
,com.squareup.okhttp.internal.http.ResponseCacheTest#requestPragmaNoCache,2747.0214252471924,1,2734.061086654663,1,1080.7509999999645,1
,com.squareup.okhttp.internal.http.ResponseCacheTest#responseCachingAndInputStreamSkipWithChunkedEncoding,2371.9119815826416,2,2352.912500143051,2,1094.7259999999876,2
,com.squareup.okhttp.internal.http.ResponseCacheTest#responseCachingAndRedirects,2649.1773097515106,1,2647.2140667438507,1,1088.5899999999788,1
