technique,testName,sec.avg
isolated,org.apache.hadoop.hbase.stargate.TestScannerResource.testSimpleScannerPB,113.6235681
isolated,org.apache.hadoop.hbase.stargate.TestScannerResource.testSimpleScannerXML,120.72276386616
isolated,org.apache.hadoop.hbase.stargate.TestScannersWithFilters.testFilterList,114.72054910877
isolated,org.apache.hadoop.hbase.stargate.TestScannersWithFilters.testFirstKeyOnlyFilter,110.05026563416
isolated,org.apache.hadoop.hbase.stargate.TestScannersWithFilters.testInclusiveStopFilter,113.03423813421
isolated,org.apache.hadoop.hbase.stargate.TestScannersWithFilters.testNoFilter,120.23229313797
isolated,org.apache.hadoop.hbase.stargate.TestScannersWithFilters.testPageFilter,109.59156065842
isolated,org.apache.hadoop.hbase.stargate.TestScannersWithFilters.testPrefixFilter,113.10393377001
isolated,org.apache.hadoop.hbase.stargate.TestScannersWithFilters.testQualifierFilter,110.6447751
isolated,org.apache.hadoop.hbase.stargate.TestScannersWithFilters.testRowFilter,118.00637381646
isolated,org.apache.hadoop.hbase.stargate.TestScannersWithFilters.testSkipFilter,112.26716621179
