sleepyline.cause,sleepyline
java/lang/Object.notifyAll()V,com/squareup/okhttp/RecordingReceiver:onResponse:60
java/lang/Object.notifyAll()V,com/squareup/okhttp/RecordingReceiver:onResponse:59
java/util/concurrent/Executor.execute(Ljava/lang/Runnable;)V,org/jboss/msc/service/MSCExecutor:execute:47
java/util/concurrent/Executor.execute(Ljava/lang/Runnable;)V,org/jboss/msc/service/MSCExecutor:execute:48
java/lang/Thread.holdsLock(Ljava/lang/Object;)Z,org/jboss/msc/service/ServiceControllerImpl:doUndemandDependencies:1049
java/lang/Thread.holdsLock(Ljava/lang/Object;)Z,org/jboss/msc/service/ServiceControllerImpl:doUndemandDependencies:1048
java/lang/Thread.holdsLock(Ljava/lang/Object;)Z,org/jboss/msc/service/ServiceControllerImpl:removeDemand:1081
java/lang/Thread.holdsLock(Ljava/lang/Object;)Z,org/jboss/msc/service/ServiceControllerImpl:removeDemand:1080
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,liquibase/parser/core/xml/LiquibaseEntityResolver:tryResolveLiquibaseSchema:61
java/lang/Thread.currentThread()Ljava/lang/Thread;,liquibase/parser/core/xml/LiquibaseEntityResolver:tryResolveLiquibaseSchema:61
java/lang/Thread.currentThread()Ljava/lang/Thread;,liquibase/parser/core/xml/LiquibaseEntityResolver:tryResolveLiquibaseSchema:60
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,liquibase/parser/core/xml/LiquibaseEntityResolver:tryResolveLiquibaseSchema:60
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,liquibase/parser/core/xml/LiquibaseEntityResolver:tryResolveLiquibaseSchema:62
java/lang/Thread.currentThread()Ljava/lang/Thread;,liquibase/parser/core/xml/LiquibaseEntityResolver:tryResolveLiquibaseSchema:62
java/nio/ByteBuffer.wrap([B)Ljava/nio/ByteBuffer;,tachyon/TestUtils:getIncreasingByteBuffer:92
java/nio/ByteBuffer.wrap([B)Ljava/nio/ByteBuffer;,tachyon/TestUtils:getIncreasingByteBuffer:93
java/util/concurrent/CopyOnWriteArraySet.add(Ljava/lang/Object;)Z,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:addOrderedElement:183
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.lock()V,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:add:89
java/lang/System.currentTimeMillis()J,org/springframework/integration/channel/DefaultHeaderChannelRegistry:start:149
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.unlock()V,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:remove:133
java/util/concurrent/locks/ReentrantLock.newCondition()Ljava/util/concurrent/locks/Condition;,org/springframework/integration/endpoint/AbstractEndpoint:<init>:49
java/util/concurrent/locks/ReentrantLock.newCondition()Ljava/util/concurrent/locks/Condition;,org/springframework/integration/endpoint/AbstractEndpoint:<init>:50
java/util/concurrent/CopyOnWriteArraySet.size()I,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:size:217
java/util/concurrent/locks/ReentrantLock.lock()V,org/springframework/integration/endpoint/AbstractEndpoint:start:86
java/util/concurrent/locks/ReentrantLock.unlock()V,org/springframework/integration/endpoint/AbstractEndpoint:start:97
java/util/concurrent/CopyOnWriteArraySet.size()I,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:size:216
java/lang/Runnable.run()V,org/springframework/integration/channel/DefaultHeaderChannelRegistry:stop:165
java/lang/System.currentTimeMillis()J,org/springframework/messaging/MessageHeaders:<init>:132
java/util/concurrent/CopyOnWriteArraySet.remove(Ljava/lang/Object;)Z,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:remove:128
java/lang/System.currentTimeMillis()J,org/springframework/scheduling/concurrent/ThreadPoolTaskScheduler:schedule:311
java/util/concurrent/ExecutorService.shutdownNow()Ljava/util/List;,org/springframework/scheduling/concurrent/ExecutorConfigurationSupport:shutdown:209
java/util/concurrent/CopyOnWriteArraySet.toArray()[Ljava/lang/Object;,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:addOrderedElement:177
java/util/concurrent/CopyOnWriteArraySet.contains(Ljava/lang/Object;)Z,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:addOrderedElement:177
java/util/concurrent/locks/ReentrantLock.lock()V,org/springframework/integration/endpoint/AbstractEndpoint:start:85
java/util/concurrent/locks/ReentrantLock.lock()V,org/springframework/integration/endpoint/AbstractEndpoint:isRunning:76
java/util/concurrent/locks/ReentrantLock.unlock()V,org/springframework/integration/endpoint/AbstractEndpoint:stop:112
java/util/concurrent/locks/ReentrantLock.unlock()V,org/springframework/integration/endpoint/AbstractEndpoint:isRunning:81
java/util/concurrent/CopyOnWriteArraySet.clear()V,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:addOrderedElement:181
java/util/concurrent/CountDownLatch.await(JLjava/util/concurrent/TimeUnit;)Z,org/springframework/context/support/DefaultLifecycleProcessor$LifecycleGroup:stop:371
java/util/concurrent/CountDownLatch.countDown()V,org/springframework/context/support/DefaultLifecycleProcessor$1:run:232
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.lock()V,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:remove:125
java/util/concurrent/CopyOnWriteArraySet.toArray()[Ljava/lang/Object;,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:addOrderedElement:176
java/util/concurrent/locks/ReentrantLock.unlock()V,org/springframework/integration/endpoint/AbstractEndpoint:stop:123
java/util/concurrent/CountDownLatch.countDown()V,org/springframework/context/support/DefaultLifecycleProcessor:doStop:252
java/util/concurrent/CountDownLatch.getCount()J,org/springframework/context/support/DefaultLifecycleProcessor$LifecycleGroup:stop:372
java/util/concurrent/CountDownLatch.await(JLjava/util/concurrent/TimeUnit;)Z,org/springframework/context/support/DefaultLifecycleProcessor$LifecycleGroup:stop:372
java/lang/System.currentTimeMillis()J,org/springframework/messaging/MessageHeaders:<init>:133
java/lang/System.currentTimeMillis()J,org/springframework/integration/channel/DefaultHeaderChannelRegistry:start:148
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.unlock()V,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:add:100
java/util/concurrent/locks/ReentrantLock.unlock()V,org/springframework/integration/endpoint/AbstractEndpoint:isRunning:80
java/lang/Thread.setPriority(I)V,org/springframework/util/CustomizableThreadCreator:createThread:150
java/util/concurrent/CountDownLatch.countDown()V,org/springframework/context/support/DefaultLifecycleProcessor:doStop:253
java/util/concurrent/CountDownLatch.await()V,org/springframework/messaging/core/GenericMessagingTemplate$TemporaryReplyChannel:receive:199
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.lock()V,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:add:88
java/util/concurrent/CountDownLatch.countDown()V,org/springframework/context/support/DefaultLifecycleProcessor$1:run:233
java/util/concurrent/CountDownLatch.getCount()J,org/springframework/context/support/DefaultLifecycleProcessor$LifecycleGroup:stop:373
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.unlock()V,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:add:101
java/lang/System.currentTimeMillis()J,org/springframework/scheduling/concurrent/ThreadPoolTaskScheduler:schedule:312
java/util/concurrent/CountDownLatch.countDown()V,org/springframework/messaging/core/GenericMessagingTemplate$TemporaryReplyChannel:send:227
java/util/concurrent/CountDownLatch.await()V,org/springframework/messaging/core/GenericMessagingTemplate$TemporaryReplyChannel:receive:200
java/util/concurrent/locks/ReentrantLock.lock()V,org/springframework/integration/endpoint/AbstractEndpoint:isRunning:75
java/util/concurrent/CopyOnWriteArraySet.clear()V,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:addOrderedElement:180
java/util/concurrent/ExecutorService.shutdownNow()Ljava/util/List;,org/springframework/scheduling/concurrent/ExecutorConfigurationSupport:shutdown:210
java/util/concurrent/locks/ReentrantLock.unlock()V,org/springframework/integration/endpoint/AbstractEndpoint:stop:113
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.unlock()V,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:remove:132
java/util/concurrent/CountDownLatch.countDown()V,org/springframework/messaging/core/GenericMessagingTemplate$TemporaryReplyChannel:send:226
java/util/concurrent/locks/ReentrantLock.lock()V,org/springframework/integration/endpoint/AbstractEndpoint:stop:102
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.lock()V,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:remove:126
java/util/concurrent/CopyOnWriteArraySet.contains(Ljava/lang/Object;)Z,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:addOrderedElement:178
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,org/springframework/util/CustomizableThreadCreator:nextThreadName:162
java/util/concurrent/ScheduledExecutorService.schedule(Ljava/lang/Runnable;JLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,org/springframework/scheduling/concurrent/ThreadPoolTaskScheduler:schedule:314
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,org/springframework/util/CustomizableThreadCreator:nextThreadName:163
java/util/concurrent/CopyOnWriteArraySet.add(Ljava/lang/Object;)Z,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:addOrderedElement:184
java/util/concurrent/CopyOnWriteArraySet.remove(Ljava/lang/Object;)Z,org/springframework/integration/dispatcher/OrderedAwareCopyOnWriteArraySet:remove:127
java/lang/Runnable.run()V,org/springframework/integration/endpoint/AbstractEndpoint:doStop:132
java/lang/Thread.setDaemon(Z)V,org/springframework/util/CustomizableThreadCreator:createThread:151
java/lang/Thread.setPriority(I)V,org/springframework/util/CustomizableThreadCreator:createThread:151
java/util/concurrent/locks/ReentrantLock.lock()V,org/springframework/integration/endpoint/AbstractEndpoint:stop:117
java/util/concurrent/locks/ReentrantLock.lock()V,org/springframework/integration/endpoint/AbstractEndpoint:stop:101
java/util/concurrent/locks/ReentrantLock.unlock()V,org/springframework/integration/endpoint/AbstractEndpoint:start:96
java/lang/Thread.setDaemon(Z)V,org/springframework/util/CustomizableThreadCreator:createThread:152
java/util/concurrent/locks/ReentrantLock.unlock()V,org/springframework/integration/endpoint/AbstractEndpoint:stop:122
java/lang/Runnable.run()V,org/springframework/integration/endpoint/AbstractEndpoint:doStop:133
java/util/concurrent/locks/ReentrantLock.lock()V,org/springframework/integration/endpoint/AbstractEndpoint:stop:118
java/util/concurrent/ScheduledExecutorService.schedule(Ljava/lang/Runnable;JLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,org/springframework/scheduling/concurrent/ThreadPoolTaskScheduler:schedule:313
java/lang/Runnable.run()V,org/springframework/integration/channel/DefaultHeaderChannelRegistry:stop:164
java/nio/channels/SelectionKey.interestOps()I,org/apache/zookeeper/ClientCnxn$SendThread:enableRead:887
java/lang/Object.notifyAll()V,org/apache/hadoop/hdfs/DFSClient$DFSOutputStream:writeChunk:3084
java/lang/Object.notifyAll()V,org/apache/hadoop/hdfs/DFSClient$DFSOutputStream:writeChunk:3085
java/lang/Thread.sleep(J)V,org/apache/hadoop/hdfs/server/namenode/LeaseManager$Monitor:run:350
java/lang/Thread.setName(Ljava/lang/String;)V,org/jboss/netty/util/ThreadRenamingRunnable:run:98
java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,org/apache/dubbo/common/logger/LoggerFactory:getLogger:123
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,org/jboss/netty/util/internal/LinkedTransferQueue$Node:casItem:458
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/jboss/netty/channel/socket/nio/NioWorker:run:149
java/util/concurrent/atomic/AtomicBoolean.set(Z)V,org/jboss/netty/channel/socket/nio/NioWorker:run:154
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/jboss/netty/channel/socket/nio/NioWorker:run:148
java/nio/channels/Selector.select(J)I,org/jboss/netty/channel/socket/nio/SelectorUtil:select:39
java/lang/Thread.setName(Ljava/lang/String;)V,org/jboss/netty/util/ThreadRenamingRunnable:run:97
java/util/concurrent/atomic/AtomicBoolean.get()Z,org/jboss/netty/channel/socket/nio/NioWorker:run:194
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/jboss/netty/channel/socket/nio/NioSocketChannel:getRemoteAddress:111
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/jboss/netty/util/ThreadRenamingRunnable:run:89
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/jboss/netty/channel/socket/nio/NioSocketChannel:getLocalAddress:96
java/lang/Object.notifyAll()V,org/jboss/netty/channel/DefaultChannelFuture:setSuccess:312
java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,org/apache/dubbo/common/logger/LoggerFactory:getLogger:124
java/lang/Object.notifyAll()V,org/jboss/netty/channel/DefaultChannelFuture:setSuccess:313
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,org/jboss/netty/util/internal/LinkedTransferQueue$Node:casItem:459
java/lang/Runnable.run()V,org/jboss/netty/util/ThreadRenamingRunnable:run:108
java/lang/Runnable.run()V,org/jboss/netty/channel/socket/nio/NioWorker:processRegisterTaskQueue:256
java/nio/channels/Selector.select(J)I,org/jboss/netty/channel/socket/nio/SelectorUtil:select:38
java/lang/Thread.getName()Ljava/lang/String;,org/jboss/netty/util/ThreadRenamingRunnable:run:91
java/util/concurrent/ExecutorService.isShutdown()Z,org/apache/dubbo/remoting/transport/dispatcher/WrappedChannelHandler:getExecutorService:115
java/util/concurrent/locks/LockSupport.unpark(Ljava/lang/Thread;)V,org/jboss/netty/util/internal/LinkedTransferQueue:xfer:656
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/jboss/netty/channel/socket/nio/NioSocketChannel:getRemoteAddress:110
java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,org/apache/dubbo/remoting/transport/netty/NettyChannel:getOrAddChannel:63
java/util/concurrent/ExecutorService.isShutdown()Z,org/apache/dubbo/remoting/transport/dispatcher/WrappedChannelHandler:getExecutorService:114
java/util/concurrent/locks/LockSupport.unpark(Ljava/lang/Thread;)V,org/jboss/netty/util/internal/LinkedTransferQueue:xfer:657
java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,org/apache/dubbo/remoting/transport/netty/NettyChannel:getOrAddChannel:64
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/jboss/netty/util/ThreadRenamingRunnable:run:90
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/jboss/netty/channel/socket/nio/NioSocketChannel:getLocalAddress:97
java/util/concurrent/atomic/AtomicBoolean.get()Z,org/jboss/netty/channel/socket/nio/NioWorker:run:193
java/util/concurrent/atomic/AtomicBoolean.set(Z)V,org/jboss/netty/channel/socket/nio/NioWorker:run:153
java/lang/Runnable.run()V,org/jboss/netty/channel/socket/nio/NioWorker:processRegisterTaskQueue:257
java/lang/Runnable.run()V,org/jboss/netty/util/internal/DeadLockProofWorker$1:run:44
java/util/concurrent/ExecutorService.execute(Ljava/lang/Runnable;)V,org/apache/dubbo/remoting/transport/dispatcher/all/AllChannelHandler:connected:44
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeaderExchangeHandler:disconnected:144
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeaderExchangeHandler:disconnected:143
java/lang/Thread.currentThread()Ljava/lang/Thread;,java/util/concurrent/FutureTask:runAndReset:300
java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,org/jboss/netty/channel/AbstractChannel:allocateId:41
java/lang/Thread.getName()Ljava/lang/String;,org/jboss/netty/util/ThreadRenamingRunnable:run:90
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeartbeatHandler:setReadTimestamp:92
java/util/concurrent/locks/Lock.lock()V,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:237
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:235
java/nio/channels/Selector.select(J)I,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:241
java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:241
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/jboss/netty/channel/socket/nio/NioSocketChannel:<init>:85
java/nio/channels/Selector.close()V,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:closeSelector:300
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,org/jboss/netty/channel/socket/nio/NioWorker:register:144
java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,org/jboss/netty/channel/AbstractChannel:allocateId:42
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:234
java/util/concurrent/locks/Lock.unlock()V,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:270
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeartbeatHandler:setWriteTimestamp:97
java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,org/jboss/netty/channel/socket/nio/NioSocketChannel:<init>:86
java/nio/channels/ServerSocketChannel.accept()Ljava/nio/channels/SocketChannel;,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:244
java/util/concurrent/atomic/AtomicInteger.getAndIncrement()I,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink:nextWorker:207
java/nio/channels/Selector.close()V,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:closeSelector:299
java/nio/channels/ServerSocketChannel.accept()Ljava/nio/channels/SocketChannel;,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:245
java/util/concurrent/atomic/AtomicInteger.getAndIncrement()I,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink:nextWorker:208
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeartbeatHandler:setReadTimestamp:93
java/nio/channels/Selector.select(J)I,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:240
java/util/concurrent/atomic/AtomicBoolean.compareAndSet(ZZ)Z,org/jboss/netty/channel/socket/nio/NioWorker:register:143
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,org/jboss/netty/channel/socket/nio/NioWorker:register:143
java/util/concurrent/locks/Lock.lock()V,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:236
java/lang/Runnable.run()V,org/jboss/netty/util/ThreadRenamingRunnable:run:109
java/lang/Thread.setName(Ljava/lang/String;)V,org/jboss/netty/util/ThreadRenamingRunnable:run:113
java/util/concurrent/locks/Lock.unlock()V,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:269
java/util/concurrent/Executor.execute(Ljava/lang/Runnable;)V,org/jboss/netty/util/internal/DeadLockProofWorker:start:41
java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,org/jboss/netty/channel/socket/nio/NioServerSocketPipelineSink$Boss:run:242
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,org/jboss/netty/util/internal/LinkedTransferQueue:casHead:577
java/lang/Thread.setName(Ljava/lang/String;)V,org/jboss/netty/util/ThreadRenamingRunnable:run:114
java/util/concurrent/atomic/AtomicBoolean.compareAndSet(ZZ)Z,org/jboss/netty/channel/socket/nio/NioWorker:register:142
java/util/concurrent/ExecutorService.execute(Ljava/lang/Runnable;)V,org/apache/dubbo/remoting/transport/dispatcher/all/AllChannelHandler:connected:43
java/nio/channels/Selector.open()Ljava/nio/channels/Selector;,org/jboss/netty/channel/socket/nio/NioWorker:register:103
java/util/concurrent/Executor.execute(Ljava/lang/Runnable;)V,org/jboss/netty/util/internal/DeadLockProofWorker:start:40
java/util/concurrent/atomic/AtomicInteger.getAndIncrement()I,org/apache/dubbo/common/threadlocal/NamedInternalThreadFactory:newThread:43
java/lang/Runnable.run()V,org/jboss/netty/util/internal/DeadLockProofWorker$1:run:45
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeartbeatHandler:setWriteTimestamp:96
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,org/jboss/netty/util/internal/LinkedTransferQueue:casHead:578
java/nio/channels/Selector.open()Ljava/nio/channels/Selector;,org/jboss/netty/channel/socket/nio/NioWorker:register:102
java/util/concurrent/atomic/AtomicInteger.getAndIncrement()I,org/apache/dubbo/common/threadlocal/NamedInternalThreadFactory:newThread:42
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeaderExchangeHandler:connected:131
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeaderExchangeHandler:connected:132
java/util/concurrent/ExecutorService.isShutdown()Z,org/jboss/netty/channel/socket/nio/NioWorker:run:209
java/util/concurrent/atomic/AtomicBoolean.set(Z)V,org/jboss/netty/channel/socket/nio/NioSocketChannel$WriteTask:run:268
java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,org/jboss/netty/channel/socket/nio/NioWorker:run:201
java/nio/channels/Selector.keys()Ljava/util/Set;,org/jboss/netty/channel/socket/nio/NioWorker:run:207
java/nio/channels/Selector.close()V,org/jboss/netty/channel/socket/nio/NioWorker:run:216
java/lang/Runnable.run()V,org/jboss/netty/channel/socket/nio/NioWorker:processWriteTaskQueue:268
java/nio/channels/Selector.keys()Ljava/util/Set;,org/jboss/netty/channel/socket/nio/NioWorker:run:213
java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,org/jboss/netty/channel/socket/nio/NioWorker:run:200
java/nio/channels/Selector.keys()Ljava/util/Set;,org/jboss/netty/channel/socket/nio/NioWorker:run:212
java/lang/Runnable.run()V,org/jboss/netty/channel/socket/nio/NioWorker:processWriteTaskQueue:269
java/nio/channels/Selector.keys()Ljava/util/Set;,org/jboss/netty/channel/socket/nio/NioWorker:run:208
java/util/concurrent/ExecutorService.isShutdown()Z,org/jboss/netty/channel/socket/nio/NioWorker:run:208
java/nio/channels/Selector.close()V,org/jboss/netty/channel/socket/nio/NioWorker:run:215
java/util/concurrent/atomic/AtomicBoolean.set(Z)V,org/jboss/netty/channel/socket/nio/NioSocketChannel$WriteTask:run:269
java/util/concurrent/atomic/AtomicBoolean.compareAndSet(ZZ)Z,org/jboss/netty/channel/socket/nio/NioWorker:scheduleWriteIfNecessary:416
java/util/concurrent/atomic/AtomicBoolean.compareAndSet(ZZ)Z,org/jboss/netty/channel/socket/nio/NioWorker:scheduleWriteIfNecessary:417
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,org/jboss/netty/channel/socket/nio/NioWorker:scheduleWriteIfNecessary:417
java/nio/ByteBuffer.hasArray()Z,org/jboss/netty/buffer/ChannelBuffers:wrappedBuffer:316
java/nio/ByteBuffer.order()Ljava/nio/ByteOrder;,org/jboss/netty/buffer/ChannelBuffers:wrappedBuffer:316
java/util/concurrent/atomic/AtomicInteger.addAndGet(I)I,org/jboss/netty/channel/socket/nio/NioSocketChannel$WriteRequestQueue:offer:215
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,org/jboss/netty/util/internal/LinkedTransferQueue$Node:casNext:443
java/lang/Thread.currentThread()Ljava/lang/Thread;,com/alibaba/com/caucho/hessian/io/SerializerFactory:<init>:237
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,com/alibaba/com/caucho/hessian/io/SerializerFactory:<init>:237
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,org/jboss/netty/channel/socket/nio/NioWorker:scheduleWriteIfNecessary:418
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeartBeatTask:run:49
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicIntegerFieldUpdater;,org/apache/dubbo/common/timer/HashedWheelTimer:<clinit>:94
java/util/concurrent/atomic/AtomicBoolean.compareAndSet(ZZ)Z,org/jboss/netty/channel/socket/nio/NioWorker:scheduleWriteIfNecessary:408
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,org/jboss/netty/util/internal/LinkedTransferQueue:casTail:562
java/util/concurrent/atomic/AtomicInteger.addAndGet(I)I,org/jboss/netty/channel/socket/nio/NioSocketChannel$WriteRequestQueue:offer:214
java/lang/Thread.currentThread()Ljava/lang/Thread;,com/alibaba/com/caucho/hessian/io/SerializerFactory:<init>:236
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,com/alibaba/com/caucho/hessian/io/SerializerFactory:<init>:236
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeaderExchangeHandler:sent:158
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeaderExchangeHandler:sent:159
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,org/jboss/netty/util/internal/LinkedTransferQueue:casTail:563
java/util/concurrent/Callable.call()Ljava/lang/Object;,java/util/concurrent/FutureTask:runAndReset:309
java/lang/System.currentTimeMillis()J,org/apache/dubbo/remoting/exchange/support/header/HeartBeatTask:run:48
java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,org/jboss/netty/util/internal/LinkedTransferQueue$Node:casNext:442
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/jboss/netty/channel/socket/nio/NioWorker:scheduleWriteIfNecessary:404
java/util/concurrent/atomic/AtomicBoolean.compareAndSet(ZZ)Z,org/jboss/netty/channel/socket/nio/NioWorker:scheduleWriteIfNecessary:407
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,org/apache/dubbo/common/timer/HashedWheelTimer:<init>:256
java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,org/apache/dubbo/common/timer/HashedWheelTimer:<init>:255
java/nio/ByteBuffer.wrap([BII)Ljava/nio/ByteBuffer;,org/apache/dubbo/remoting/buffer/HeapChannelBuffer:toByteBuffer:217
java/util/concurrent/atomic/AtomicIntegerFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicIntegerFieldUpdater;,org/apache/dubbo/common/timer/HashedWheelTimer:<clinit>:93
java/nio/ByteBuffer.array()[B,org/jboss/netty/buffer/ChannelBuffers:wrappedBuffer:317
java/nio/ByteBuffer.order()Ljava/nio/ByteOrder;,org/jboss/netty/buffer/ChannelBuffers:wrappedBuffer:317
