sleepyline.cause,sleepyline
java/lang/System.currentTimeMillis()J,org/apache/catalina/core/StandardWrapper:setAvailable:351
java/lang/System.currentTimeMillis()J,org/springframework/boot/context/embedded/EmbeddedWebApplicationContext:prepareEmbeddedWebApplicationContext:252
java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,org/apache/catalina/core/StandardContext:bindThread:5987
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/apache/catalina/core/StandardContext:bindThread:5987
java/lang/System.currentTimeMillis()J,org/apache/catalina/startup/TldConfig:execute:249
java/util/concurrent/atomic/AtomicInteger.get()I,org/apache/catalina/core/StandardWrapper:unload:1450
java/lang/System.currentTimeMillis()J,ch/qos/logback/classic/spi/LoggingEvent:<init>:129
java/util/concurrent/atomic/AtomicLong.getAndIncrement()J,org/apache/catalina/core/StandardContext:stopInternal:5742
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,org/apache/xerces/impl/dv/SecuritySupport$1:run:0
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/apache/xerces/impl/dv/SecuritySupport$1:run:0
java/util/concurrent/atomic/AtomicInteger.get()I,org/apache/catalina/core/StandardWrapper:unload:1449
java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.unlock()V,org/apache/catalina/core/StandardWrapper:removeMapping:1359
java/util/concurrent/ThreadPoolExecutor.shutdownNow()Ljava/util/List;,org/apache/catalina/core/ContainerBase:destroyInternal:1244
java/lang/Thread.getThreadGroup()Ljava/lang/ThreadGroup;,org/apache/catalina/loader/WebappClassLoader:getThreads:2656
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/apache/catalina/loader/WebappClassLoader:getThreads:2656
java/io/OutputStream.flush()V,ch/qos/logback/core/encoder/LayoutWrappingEncoder:doEncode:137
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/apache/catalina/loader/WebappClassLoader:clearReferencesThreads:2251
java/util/concurrent/Callable.call()Ljava/lang/Object;,java/util/concurrent/FutureTask:run:266
java/io/OutputStream.flush()V,org/springframework/boot/cli/util/OutputCapture$CaptureOutputStream:flush:123
java/lang/Thread.currentThread()Ljava/lang/Thread;,org/apache/catalina/core/StandardContext:bindThread:5979
java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,org/apache/catalina/core/StandardContext:bindThread:5979
java/lang/System.currentTimeMillis()J,org/apache/catalina/core/StandardWrapper:setAvailable:350
java/util/concurrent/ThreadPoolExecutor.shutdownNow()Ljava/util/List;,org/apache/catalina/core/ContainerBase:destroyInternal:1245
