sleepyline.cause,method,failureID.Uniq.Count,test
java/nio/channels/FileLock.channel()Ljava/nio/channels/FileChannel;,OBO,1,1
java/nio/channels/FileLock.release()V,OBO,1,1
java/nio/channels/ReadableByteChannel.read(Ljava/nio/ByteBuffer;)I,BIS,52,52
java/nio/channels/ReadableByteChannel.read(Ljava/nio/ByteBuffer;)I,OBO,32,32
java/nio/channels/SelectableChannel.configureBlocking(Z)Ljava/nio/channels/SelectableChannel;,BIS,34,34
java/nio/channels/SelectableChannel.configureBlocking(Z)Ljava/nio/channels/SelectableChannel;,OBO,14,14
java/nio/channels/SelectableChannel.provider()Ljava/nio/channels/spi/SelectorProvider;,BIS,43,43
java/nio/channels/SelectableChannel.provider()Ljava/nio/channels/spi/SelectorProvider;,OBO,25,25
java/nio/channels/SelectableChannel.register(Ljava/nio/channels/Selector;I)Ljava/nio/channels/SelectionKey;,BIS,44,44
java/nio/channels/SelectableChannel.register(Ljava/nio/channels/Selector;I)Ljava/nio/channels/SelectionKey;,OBO,25,25
java/nio/channels/SelectableChannel.register(Ljava/nio/channels/Selector;ILjava/lang/Object;)Ljava/nio/channels/SelectionKey;,BIS,4,4
java/nio/channels/SelectableChannel.register(Ljava/nio/channels/Selector;ILjava/lang/Object;)Ljava/nio/channels/SelectionKey;,OBO,4,4
java/nio/channels/SelectionKey.attach(Ljava/lang/Object;)Ljava/lang/Object;,BIS,63,63
java/nio/channels/SelectionKey.attach(Ljava/lang/Object;)Ljava/lang/Object;,OBO,107,107
java/nio/channels/SelectionKey.attachment()Ljava/lang/Object;,BIS,131,131
java/nio/channels/SelectionKey.attachment()Ljava/lang/Object;,OBO,126,126
java/nio/channels/SelectionKey.cancel()V,BIS,74,74
java/nio/channels/SelectionKey.cancel()V,OBO,147,147
java/nio/channels/SelectionKey.channel()Ljava/nio/channels/SelectableChannel;,BIS,29,29
java/nio/channels/SelectionKey.channel()Ljava/nio/channels/SelectableChannel;,OBO,40,40
java/nio/channels/SelectionKey.interestOps()I,BIS,51,51
java/nio/channels/SelectionKey.interestOps()I,OBO,67,67
java/nio/channels/SelectionKey.interestOps(I)Ljava/nio/channels/SelectionKey;,BIS,155,155
java/nio/channels/SelectionKey.interestOps(I)Ljava/nio/channels/SelectionKey;,OBO,162,162
java/nio/channels/SelectionKey.isAcceptable()Z,BIS,68,68
java/nio/channels/SelectionKey.isAcceptable()Z,OBO,106,106
java/nio/channels/SelectionKey.isConnectable()Z,BIS,19,19
java/nio/channels/SelectionKey.isConnectable()Z,OBO,19,19
java/nio/channels/SelectionKey.isReadable()Z,BIS,80,80
java/nio/channels/SelectionKey.isReadable()Z,OBO,128,128
java/nio/channels/SelectionKey.isValid()Z,BIS,78,78
java/nio/channels/SelectionKey.isValid()Z,OBO,126,126
java/nio/channels/SelectionKey.isWritable()Z,BIS,104,104
java/nio/channels/SelectionKey.isWritable()Z,OBO,123,123
java/nio/channels/SelectionKey.readyOps()I,BIS,18,18
java/nio/channels/SelectionKey.readyOps()I,OBO,25,25
java/nio/channels/SelectionKey.selector()Ljava/nio/channels/Selector;,BIS,32,32
java/nio/channels/SelectionKey.selector()Ljava/nio/channels/Selector;,OBO,39,39
java/nio/channels/Selector.<init>()V,BIS,2,2
java/nio/channels/Selector.<init>()V,OBO,2,2
java/nio/channels/Selector.close()V,BIS,7,7
java/nio/channels/Selector.close()V,OBO,41,41
java/nio/channels/Selector.isOpen()Z,OBO,15,15
java/nio/channels/Selector.keys()Ljava/util/Set;,BIS,14,14
java/nio/channels/Selector.keys()Ljava/util/Set;,OBO,26,26
java/nio/channels/Selector.open()Ljava/nio/channels/Selector;,BIS,13,13
java/nio/channels/Selector.open()Ljava/nio/channels/Selector;,OBO,43,43
java/nio/channels/Selector.select()I,BIS,50,50
java/nio/channels/Selector.select()I,OBO,91,91
java/nio/channels/Selector.select(J)I,BIS,76,76
java/nio/channels/Selector.select(J)I,OBO,76,76
java/nio/channels/Selector.selectNow()I,BIS,48,48
java/nio/channels/Selector.selectNow()I,OBO,29,29
java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,BIS,89,89
java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,OBO,138,138
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,BIS,201,201
java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,OBO,205,205
java/nio/channels/ServerSocketChannel.accept()Ljava/nio/channels/SocketChannel;,BIS,68,68
java/nio/channels/ServerSocketChannel.accept()Ljava/nio/channels/SocketChannel;,OBO,114,114
java/nio/channels/ServerSocketChannel.bind(Ljava/net/SocketAddress;I)Ljava/nio/channels/ServerSocketChannel;,BIS,2,2
java/nio/channels/ServerSocketChannel.bind(Ljava/net/SocketAddress;I)Ljava/nio/channels/ServerSocketChannel;,OBO,2,2
java/nio/channels/ServerSocketChannel.open()Ljava/nio/channels/ServerSocketChannel;,BIS,3,3
java/nio/channels/ServerSocketChannel.open()Ljava/nio/channels/ServerSocketChannel;,OBO,22,22
java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,BIS,41,41
java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,OBO,32,32
java/nio/channels/ServerSocketChannel.validOps()I,BIS,3,3
java/nio/channels/ServerSocketChannel.validOps()I,OBO,1,1
java/nio/channels/SocketChannel.connect(Ljava/net/SocketAddress;)Z,BIS,29,29
java/nio/channels/SocketChannel.connect(Ljava/net/SocketAddress;)Z,OBO,39,39
java/nio/channels/SocketChannel.finishConnect()Z,BIS,46,46
java/nio/channels/SocketChannel.finishConnect()Z,OBO,46,46
java/nio/channels/SocketChannel.isConnected()Z,BIS,66,66
java/nio/channels/SocketChannel.isConnected()Z,OBO,107,107
java/nio/channels/SocketChannel.open()Ljava/nio/channels/SocketChannel;,BIS,26,26
