method,totalConfigs,sleepyline.cause,config.Count,proportion
BIS,14666,java/nio/channels/SelectionKey.attach(Ljava/lang/Object;)Ljava/lang/Object;,69,0.004704759307241238
BIS,14666,java/nio/channels/SelectionKey.attachment()Ljava/lang/Object;,253,0.017250784126551205
BIS,14666,java/nio/channels/SelectionKey.cancel()V,119,0.00811400518205373
BIS,14666,java/nio/channels/SelectionKey.channel()Ljava/nio/channels/SelectableChannel;,61,0.00415927996727124
BIS,14666,java/nio/channels/SelectionKey.interestOps()I,202,0.013773353334242466
BIS,14666,java/nio/channels/SelectionKey.interestOps(I)Ljava/nio/channels/SelectionKey;,341,0.02325105686622119
BIS,14666,java/nio/channels/SelectionKey.isAcceptable()Z,91,0.006204827492158734
BIS,14666,java/nio/channels/SelectionKey.isConnectable()Z,46,0.003136506204827492
BIS,14666,java/nio/channels/SelectionKey.isReadable()Z,94,0.006409382244647484
BIS,14666,java/nio/channels/SelectionKey.isValid()Z,263,0.017932633301513706
BIS,14666,java/nio/channels/SelectionKey.isWritable()Z,149,0.010159552706941225
BIS,14666,java/nio/channels/SelectionKey.readyOps()I,73,0.004977498977226238
BIS,14666,java/nio/channels/SelectionKey.selector()Ljava/nio/channels/Selector;,52,0.003545615709804991
BIS,14666,java/nio/channels/Selector.<init>()V,6,0.000409109504977499
BIS,14666,java/nio/channels/Selector.close()V,7,0.0004772944224737488
BIS,14666,java/nio/channels/Selector.keys()Ljava/util/Set;,26,0.0017728078549024955
BIS,14666,java/nio/channels/Selector.open()Ljava/nio/channels/Selector;,21,0.0014318832674212465
BIS,14666,java/nio/channels/Selector.select()I,52,0.003545615709804991
BIS,14666,java/nio/channels/Selector.select(J)I,210,0.014318832674212464
BIS,14666,java/nio/channels/Selector.selectNow()I,145,0.009886813036956226
BIS,14666,java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,119,0.00811400518205373
BIS,14666,java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,470,0.03204691122323742
BIS,14666,java/nio/channels/ServerSocketChannel.accept()Ljava/nio/channels/SocketChannel;,86,0.0058639029046774855
